,chemical_code,chemical,month,TotalItems,TotalCost
333,0208020X0,Dabigatran Etexilate,2016-10-01,35119,1603490.780000001
334,0208020X0,Dabigatran Etexilate,2014-09-01,25343,1458844.9600000004
335,0208020X0,Dabigatran Etexilate,2015-04-01,29392,1711144.320000001
336,0208020X0,Dabigatran Etexilate,2013-07-01,15680,868096.3400000002
337,0208020X0,Dabigatran Etexilate,2016-09-01,36091,1653357.1399999976
338,0208020X0,Dabigatran Etexilate,2016-11-01,36766,1682424.5199999993
339,0208020X0,Dabigatran Etexilate,2012-01-01,943,58105.669999999955
340,0208020X0,Dabigatran Etexilate,2011-03-01,100,9141.52
341,0208020X0,Dabigatran Etexilate,2017-12-01,40318,1889595.1158200013
342,0208020X0,Dabigatran Etexilate,2011-05-01,136,12365.25
343,0208020X0,Dabigatran Etexilate,2011-08-01,163,16078.55
344,0208020X0,Dabigatran Etexilate,2017-06-01,39956,1855414.5804899852
345,0208020X0,Dabigatran Etexilate,2014-03-01,20940,1189953.6600000001
346,0208020X0,Dabigatran Etexilate,2015-07-01,32304,1876438.0499999996
347,0208020X0,Dabigatran Etexilate,2013-04-01,12245,677845.9499999996
348,0208020X0,Dabigatran Etexilate,2016-05-01,33100,1500225.790000003
349,0208020X0,Dabigatran Etexilate,2017-01-01,34984,1588310.962389998
350,0208020X0,Dabigatran Etexilate,2014-08-01,24289,1391327.4200000004
351,0208020X0,Dabigatran Etexilate,2017-07-01,38072,1763199.421190005
352,0208020X0,Dabigatran Etexilate,2018-01-01,39972,1864403.2399299978
353,0208020X0,Dabigatran Etexilate,2011-09-01,293,17952.77
354,0208020X0,Dabigatran Etexilate,2013-03-01,11227,621426.8200000004
355,0208020X0,Dabigatran Etexilate,2012-06-01,3062,166288.94999999992
356,0208020X0,Dabigatran Etexilate,2015-11-01,31349,1833788.92
357,0208020X0,Dabigatran Etexilate,2017-11-01,39664,1847065.1991200666
358,0208020X0,Dabigatran Etexilate,2012-10-01,6569,358997.4100000001
359,0208020X0,Dabigatran Etexilate,2012-02-01,1072,64172.37999999997
360,0208020X0,Dabigatran Etexilate,2015-06-01,30642,1776777.500000001
361,0208020X0,Dabigatran Etexilate,2018-02-01,36158,1685291.1782700056
362,0208020X0,Dabigatran Etexilate,2011-06-01,150,14047.479999999996
363,0208020X0,Dabigatran Etexilate,2011-11-01,550,33874.30999999999
364,0208020X0,Dabigatran Etexilate,2016-07-01,34373,1576330.8800000008
365,0208020X0,Dabigatran Etexilate,2015-08-01,30013,1741873.7299999997
366,0208020X0,Dabigatran Etexilate,2014-04-01,21620,1233826.3000000005
367,0208020X0,Dabigatran Etexilate,2013-10-01,18006,1022845.0599999998
368,0208020X0,Dabigatran Etexilate,2017-02-01,34201,1577828.3680500067
369,0208020X0,Dabigatran Etexilate,2013-01-01,9350,516158.08000000025
370,0208020X0,Dabigatran Etexilate,2017-05-01,38620,1792585.6541100172
371,0208020X0,Dabigatran Etexilate,2012-04-01,1759,105503.04000000005
372,0208020X0,Dabigatran Etexilate,2011-12-01,798,48270.40000000001
373,0208020X0,Dabigatran Etexilate,2013-09-01,15930,898567.7299999996
374,0208020X0,Dabigatran Etexilate,2012-03-01,1491,90227.52000000003
375,0208020X0,Dabigatran Etexilate,2012-05-01,2571,136339.36
376,0208020X0,Dabigatran Etexilate,2014-11-01,25198,1446449.31
377,0208020X0,Dabigatran Etexilate,2018-04-01,38962,1822610.1109999837
378,0208020X0,Dabigatran Etexilate,2012-12-01,8358,460125.7299999999
379,0208020X0,Dabigatran Etexilate,2016-03-01,33327,1508103.5300000003
380,0208020X0,Dabigatran Etexilate,2011-07-01,157,15592.940000000004
381,0208020X0,Dabigatran Etexilate,2017-09-01,38182,1788549.0627199686
382,0208020X0,Dabigatran Etexilate,2015-05-01,29084,1689093.9799999993
383,0208020X0,Dabigatran Etexilate,2012-07-01,3854,210565.72000000012
384,0208020X0,Dabigatran Etexilate,2014-07-01,25233,1453705.7599999995
385,0208020X0,Dabigatran Etexilate,2016-12-01,38432,1777469.8999999985
386,0208020X0,Dabigatran Etexilate,2014-01-01,19914,1134456.75
387,0208020X0,Dabigatran Etexilate,2014-05-01,22859,1313240.5699999996
388,0208020X0,Dabigatran Etexilate,2011-04-01,130,11815.440000000011
389,0208020X0,Dabigatran Etexilate,2011-02-01,105,8890.250000000004
390,0208020X0,Dabigatran Etexilate,2015-01-01,27571,1591422.9299999997
391,0208020X0,Dabigatran Etexilate,2014-02-01,18762,1066009.5399999998
392,0208020X0,Dabigatran Etexilate,2010-09-01,64,4937.22
393,0208020X0,Dabigatran Etexilate,2016-08-01,35430,1624139.8999999994
394,0208020X0,Dabigatran Etexilate,2017-04-01,35776,1643116.2977599977
395,0208020X0,Dabigatran Etexilate,2010-10-01,72,6130.37
396,0208020X0,Dabigatran Etexilate,2013-08-01,16146,912350.7899999999
397,0208020X0,Dabigatran Etexilate,2013-06-01,13572,754761.5499999999
398,0208020X0,Dabigatran Etexilate,2015-12-01,34792,2042007.0799999998
